smiles,standard_value,PCFE,RTlogD,ADMETlab2.0,w/o microscopic pKa,w/o pre-training and microscopic pKa,w/o pre-training,no_logp,swap_strategy,all_task_scaffold,replace_macropka,Instant Jchem,logp_simi,RT_simi,logD_simi,logp_smi
C[C@H]1CC[C@H](Cn2c(N3CCC[C@H]3C(F)(F)F)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,2.85,4.47,5.145,4.857,4.295,4.605,3.607,4.712642,3.405,4.15,3.934,5.482466083,0.203703704,0.252427184,0.242424242,0.212389381
CCCC(=O)OCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,0.5,2.67,3.326,3.029,2.823,3.236,3.172,3.4638467,2.97,3.456,3.099,2.853165949,0.253164557,0.252252252,0.728395062,0.253164557
CS(=O)(=O)C1CCCN(C(=O)c2cnc(NC3(c4cncnc4)CC3)nc2)C1,-0.8,0.17,0.826,-0.39,-0.567,-0.383,-0.883,0.36780357,-0.086,-0.204,0.597,-1.012967639,0.27027027,0.352112676,0.275,0.27027027
C[C@@H]1COC[C@@H](C)N1c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,2.32,4.2,4.851,4.614,4.219,4.778,3.884,4.399171,3.711,3.942,3.885,4.695914647,0.202247191,0.223404255,0.235849057,0.202247191
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,1.04,1.15,1.796,2.226,0.851,0.97,0.195,1.5396061,0.971,0.372,1.703,1.545093362,0.7125,0.597701149,0.726190476,0.7125
CCOc1cc2[nH]c(Cc3nn(CC(=O)O)c(=O)c4ccccc34)nc2cc1Cl,1.8,0.79,0.151,1.798,0.201,0.718,0.64,0.85283744,-0.141,0.441,0.897,-0.381603734,0.285714286,0.371794872,0.356164384,0.3375
O=C(c1nc2ccccc2[nH]1)N1CCC(c2nc(-c3cc4ccccc4o3)cs2)CC1,4.3,4.87,5.508,4.297,4.672,4.841,5.722,4.705133,4.153,4.528,4.269,4.098578395,0.245901639,0.397260274,0.38028169,0.274193548
CC(C)OC1CN(C(=O)N[C@@H]2CCCCc3cc(-c4ccnc(Nc5cnn(C)c5)n4)ccc32)C1,3.6,3.55,4.286,3.279,3.384,3.367,3.647,3.8154106,3.868,3.277,3.991,3.735601064,0.208333333,0.333333333,0.379310345,0.252631579
COc1cccc2nc(-c3ccc(N4[C@@H](C)CC[C@@H]4C)nc3)n(C[C@@H]3CNCCO3)c12,4,2.39,1.762,3.058,2.131,1.731,1.496,1.5843422,0.973,2.007,1.93,2.449178578,0.233766234,0.353658537,0.32,0.263888889
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCOC(=O)Cc2ccccc2)C(C)(C)C)cc1,0.8,2.97,3.593,3.291,3.297,3.485,3.41,3.7379417,3.047,4.055,3.396,3.542401346,0.253012048,0.245283019,0.702380952,0.253012048
O=C(O)Cn1nc(Cc2nc3cc(Cl)c(OCC(F)F)cc3[nH]2)c2ccccc2c1=O,1.97,0.89,0.267,2.001,0.31,0.603,0.26,0.74514425,-0.126,0.315,0.45,-0.275705993,0.267605634,0.34939759,0.341463415,0.325301205
O=C(c1c(-c2ccc(O)cc2)oc2ccc(O)c(CNCC3(O)CC3)c12)N1CCC1,0.9,0.94,0.239,1.675,1.288,0.999,0.323,0.8094263,-0.043,0.133,0.863,0.078767153,0.235294118,0.268292683,0.285714286,0.258064516
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3cc(C)c(C(=O)O)c(C)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O,-1.4,0.4,1.014,1.801,-0.53,-0.16,-0.471,0.31688523,0.112,0.019,-0.436,-1.508191127,0.278481013,0.259259259,0.25,0.278481013
O=c1nc(N2CCCCC2)c2ccc(Cl)cc2[nH]1,2.4,2.81,3.424,3.325,2.299,3.309,3.398,3.7504625,2.99,2.581,3.144,2.357587039,0.291666667,0.411764706,0.416666667,0.325581395
Cc1nnc2c(NCCCN3CCC(F)(F)CC3)cc(C(=O)N3[C@@H]4c5ccccc5C[C@H]3C(=O)N[C@@H]4C(C)C)nn12,3,2.53,1.926,2.977,2.285,3.019,2.5,2.2854617,1.969,2.243,2.689,1.287188165,0.25,0.27,0.280373832,0.25
COc1ccc(Cl)cc1NC(=O)Cc1nn(CC(=O)O)c(=O)c2ccccc12,1.9,-0.04,-0.642,0.891,-1.019,-0.128,-0.518,-0.015147448,-0.406,-0.341,0.155,-1.162969943,0.328125,0.472222222,0.411764706,0.413793103
CCNC(=O)C1CCN(c2cncnc2-c2ccccc2)CC1,1.8,1.97,2.571,2.381,1.908,1.755,2.175,3.0224338,1.359,1.525,2.762,2.037500786,0.315068493,0.455882353,0.347826087,0.352941176
C[C@@H](Nc1nc(C(=O)O)nc2nc(NC3CCCCC3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,2.62,3.08,3.681,4.39,3.879,3.303,3.104,3.7257943,3.108,3.098,3.795,3.035624141,0.264705882,0.337349398,0.306818182,0.273809524
COc1ccc(NC(=O)N2CCN(c3c(Nc4ccccc4C)c(=O)c3=O)CC2)cc1OC,1.55,1.9,2.49,1.892,1.714,1.419,1.364,1.8020087,0.764,0.805,1.829,2.556498271,0.383561644,0.418918919,0.4,0.383561644
Cc1nsc(NC(=O)CN2CCC(c3nc(-c4cc5ccccc5o4)cs3)CC2)c1Cl,5.1,4.96,4.376,4.401,4.553,4.507,5.442,3.8580303,4.057,4.967,4.172,4.127687435,0.306666667,0.392405063,0.333333333,0.306666667
O=C1c2nc3cccc(C(F)(F)F)c3n2CCN1CC1CCC1,3.09,3.41,3.991,3.641,3.606,4.304,3.621,3.418322,3.506,3.962,3.676,3.090185951,0.290322581,0.386666667,0.333333333,0.290322581
C[C@H](Oc1ccc(NC(=O)CC(=O)O)c(C2CC2)c1)c1c(Cl)ccc(F)c1Cl,1.9,1.71,2.669,3.419,1.939,2.448,2.707,2.5361724,2.47,1.95,2.489,1.933061728,0.318181818,0.301204819,0.329411765,0.318181818
c1ccc(-c2c[nH]c(CN3CCC(c4nc(-c5cc6ccccc6o5)cs4)CC3)n2)cc1,3.7,4.6,5.178,4.868,5.406,4.844,6.25,4.530134,4.728,6.016,4.917,4.973959507,0.260273973,0.363636364,0.375,0.260273973
CCc1ccc(N(CC(C)C)S(=O)(=O)c2ccc(OCC3CCOCC3)c3c2CCCC3=O)cc1,4.84,4.89,4.213,4.359,3.782,4.052,4.609,4.233947,3.537,4.282,4.092,5.458874827,0.2625,0.278481013,0.235955056,0.2625
O=C(O)Cn1nc(Cn2cc3cc(OCC4CC4)c(Cl)cc3n2)c2ccccc2c1=O,2.79,1.54,0.969,2.033,1.161,1.32,0.8,1.4784975,0.744,1.563,1.431,-0.191813292,0.302325581,0.348484848,0.345679012,0.345679012
C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(N3CCOC[C@H]3c3ccccc3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,3.27,4.47,5.039,5.035,4.785,5.671,5.378,5.4748907,5.291,5.076,4.84,5.945425244,0.203539823,0.260416667,0.329787234,0.211111111
C[C@H](Oc1ccc2ncc(/C=C/C(=O)NC(CC(=O)O)CC(=O)O)c(C3CC3)c2c1)c1c(Cl)ccc(F)c1Cl,0.4,1.1,1.659,3.081,0.867,1.4,1.582,1.1908698,1.057,0.213,1.228,-1.000572595,0.277777778,0.284210526,0.33,0.277777778
CNC(=O)c1c(-c2ccc(O)cc2F)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,0.1,1.28,1.837,2.68,1.756,2.383,1.749,2.1437533,1.454,1.226,1.847,0.432550422,0.263888889,0.263736264,0.293333333,0.263888889
CNC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CC4(COC4)C3)c12,0.8,1.08,1.637,2.45,1.317,2.005,1.392,1.7160853,1.194,0.957,1.471,0.840387502,0.23880597,0.320512821,0.317460317,0.25
Cc1c(/C=C/C(=O)O)ccc2ccc(O[C@@H](C)c3c(Cl)ccc(F)c3Cl)cc12,4.5,4.52,3.925,3.907,3.472,3.93,3.806,4.105673,4.212,3.672,3.653,3.976570131,0.288135593,0.285714286,0.305882353,0.288135593
CC(=O)c1ccc(NC(=O)CCS)cc1,1.35,1.35,1.901,1.586,1.066,1.296,1.097,1.132611,0.83,1.384,1.434,1.438973611,0.580645161,0.522727273,0.375,0.580645161
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4noc(=O)[nH]4)nc(-c4ccccc4)c32)CC1,2.72,4.37,4.919,4.882,4.005,5.043,4.714,4.4877768,3.729,4.612,4.316,6.222522757,0.230769231,0.274725275,0.360465116,0.231707317
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCNC(=O)C2CCCCC2)C(C)(C)C)cc1,1.4,2.73,3.278,3.169,2.777,2.912,2.885,3.1583376,2.848,3.372,3.181,3.092403118,0.255102041,0.247619048,0.75,0.30952381
Cc1c(C)c2ccc(OCc3ccc(CN(C)CCCC(F)F)cc3)cc2oc1=O,3.78,3.83,3.182,4.071,2.647,2.903,2.761,3.081663,3.113,2.861,3.441,2.863800322,0.333333333,0.338461538,0.349206349,0.333333333
C[C@H](Oc1cccc(C2CC2)c1)c1c(Cl)ccc(F)c1Cl,5,4.34,3.794,4.215,5.023,5.945,6.072,4.747984,5.099,5.26,4.237,6.088697229,0.293103448,0.307692308,0.383561644,0.293103448
Cn1cc(Nc2nccc(-c3ccc4c(c3)CN(C3COC3)CC[C@H]4NC(=O)c3cn(C(C)(C)C)nn3)n2)cn1,2.2,2.26,2.8,2.522,2.253,2.851,3.005,3.0096354,2.179,2.342,2.882,2.553092393,0.2,0.300970874,0.347368421,0.2
N#C[C@@H]1CCCN(C(=O)c2cnc(NC3(c4cncnc4)CC3)nc2)C1,-0.4,0.56,1.099,0.401,0.012,-0.13,-0.246,0.5294559,0.478,-0.086,1.088,-0.023446953,0.273972603,0.357142857,0.303797468,0.273972603
COc1ccc(NC(=O)Cc2nn(CC(=O)O)c(=O)c3ccccc23)c(OC)c1,1.13,-0.41,-0.948,0.842,-1.471,-0.952,-0.892,0.15891862,-1.206,-0.912,-0.359,-1.919225825,0.339285714,0.449275362,0.434782609,0.438596491
O=C1c2ccnc(-c3ccc(F)cc3OC(F)(F)F)c2CN1c1ccc(F)cc1,3,4.15,4.686,3.9,3.929,4.119,3.835,4.939487,3.653,4.045,4.275,5.212325278,0.269230769,0.287878788,0.273972603,0.269230769
O=C(O)Cn1nc(Cc2cn3cc(OCC4CC4)c(Cl)cc3n2)c2ccccc2c1=O,2.27,1.33,0.796,1.859,0.113,0.318,0.266,1.4046934,0.064,0.458,1.417,-0.219239135,0.269662921,0.358024691,0.341772152,0.325301205
Cc1cncc(-c2nc(-c3noc(=O)[nH]3)nc3nc(N4CCOC[C@H]4c4ccccc4)n(C[C@H]4CC[C@H](C)CC4)c23)c1,2.17,4.27,4.804,4.456,4.274,4.593,4.193,4.33897,3.295,4.346,4.086,5.487849669,0.212389381,0.27184466,0.326315789,0.212389381
c1ccc2[nH]c(CN3CCC(c4nc(-c5nc6ccccc6s5)cs4)CC3)nc2c1,3.1,4.7,5.233,4.693,5.467,4.679,5.701,4.5724473,4.632,4.951,4.84,4.789237258,0.321428571,0.4,0.342465753,0.321428571
CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1ncccn1,1.4,2.37,2.902,2.434,2.647,3.199,3.314,3.0781217,3.293,2.268,2.953,1.9055938,0.22972973,0.278481013,0.265060241,0.22972973
NC(=O)NS(=O)(=O)c1ccc(NC(=O)CCS)cc1,-1.69,-0.4,0.108,-0.253,-0.663,-0.026,-0.455,0.014129162,-0.578,-0.706,-0.227,-0.79727269,0.5,0.388888889,0.381818182,0.5
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CN(C(c3ccccc3)c3ccccc3)C2)cc1F,1.8,2.37,2.875,1.569,2.39,2.105,2.093,2.1693952,1.661,2.599,1.94,3.226238603,0.28,0.325301205,0.317073171,0.28
c1cnn([C@H]2C[C@@H](Oc3cc([C@H]4C[C@@H](n5cccn5)C4)ncn3)C2)c1,2.6,2.31,1.805,2.918,2.214,2.04,1.776,2.124152,1.748,1.607,1.803,1.672699021,0.227272727,0.301369863,0.28358209,0.24
c1cnn([C@H]2C[C@@H](Oc3cc([C@H]4C[C@H](n5cccn5)C4)ncn3)C2)c1,2.6,2.31,1.805,2.918,2.214,2.04,1.776,2.0664318,1.748,1.607,1.803,1.672699021,0.227272727,0.301369863,0.28358209,0.24
Fc1cnn([C@H]2C[C@H](c3cc(O[C@H]4C[C@@H](n5cccn5)C4)ncn3)C2)c1,3.1,2.54,2.037,3.232,2.502,2.43,2.425,2.2780414,2.337,1.835,2.202,1.815403134,0.188235294,0.280487805,0.25,0.2
COc1cc(OC)c(NC(=O)Cc2nn(CC(=O)O)c(=O)c3ccccc23)cc1Cl,1.64,-0.07,-0.572,0.692,-0.887,-0.184,-0.863,0.27809227,-0.648,-0.561,0.185,-1.320848413,0.328125,0.424657534,0.366197183,0.406779661
CNC(=O)C1CCN(c2cncnc2-c2ccccc2)CC1,1.4,1.54,2.035,2.189,1.577,1.432,1.904,2.5925455,1.052,1.279,2.601,1.680692832,0.314814815,0.453125,0.363636364,0.314814815
Clc1ccn([C@H]2C[C@H](c3cc(O[C@H]4C[C@@H](n5cccn5)C4)ncn3)C2)n1,3.5,2.95,2.464,3.894,2.82,3.039,3.128,2.8210027,2.895,2.442,2.586,2.496923016,0.203389831,0.265060241,0.263157895,0.220338983
Cc1nc(Nc2cccc(N3CCCC3=O)n2)sc1-c1cc2c(c(S(C)(=O)=O)c1)C(=O)N([C@@H](C)C1CC1)C2,4.4,3.5,3.015,2.944,3.391,3.761,3.463,2.938898,3.374,2.812,3.726,2.917138054,0.221153846,0.275510204,0.393617021,0.221153846
CC(C)(O)c1ccc(N2Cc3c(ccnc3-c3ccc(F)cc3OCC(F)(F)F)C2=O)cc1,2.48,3.46,3.941,2.992,3.219,3.837,3.481,3.5759115,3.496,3.888,3.313,4.365738531,0.265060241,0.277108434,0.313953488,0.265060241
CNC(=O)c1c(-c2ccc(O)c(F)c2)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,1,1.3,1.773,2.622,1.22,2.225,1.635,2.1460707,1.532,1.063,1.395,0.462736612,0.226190476,0.30952381,0.297297297,0.226190476
CC1(C)CNC[C@@H](Nc2ncc(C(F)(F)F)c(-c3c[nH]c4c(P(C)(C)=O)c(C#N)ccc34)n2)C1,2.7,2.72,2.211,2.474,1.934,2.245,1.586,2.8795927,1.341,1.793,2.757,1.489563322,0.18556701,0.212121212,0.242424242,0.19
CC(C)(O)COc1ccc(N2Cc3c(ccnc3-c3ccc(F)cc3OCC(F)(F)F)C2=O)cc1,2.67,3.66,4.128,3.321,3.617,4.037,3.715,3.4964423,3.114,3.731,3.519,4.285315724,0.279069767,0.333333333,0.333333333,0.279069767
CC(=O)c1c(-c2cc(C)c(O)cn2)oc2ccc(O)c(CN3CCC3)c12,2.2,2.36,1.58,2.646,2.311,2.16,1.734,2.0089796,0.742,0.67,1.794,1.191435827,0.27027027,0.295774648,0.283950617,0.27027027
N#Cc1ccc2oc(-c3csc(C4CCN(Cc5nc6ccccc6[nH]5)CC4)n3)cc2c1,3,4.19,4.65,4.269,4.647,3.913,5.196,3.9991322,3.759,5.018,4.401,4.199445089,0.26744186,0.364705882,0.313253012,0.26744186
Nc1nc(=O)[nH]c2cc(Cl)ccc12,1.2,1.22,1.669,2.035,1.008,1.427,1.642,1.3440068,1.061,0.759,1.84,0.967661957,0.340425532,0.340909091,0.418604651,0.351351351
CNC(=O)c1c(-c2ccc(O)cc2C)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,1,1.51,1.951,2.821,1.816,2.459,1.765,2.4361892,1.523,1.278,1.957,0.788315854,0.263888889,0.266666667,0.293333333,0.263888889
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCNC(=O)Cc2ccccc2)C(C)(C)C)cc1,1.5,2.42,2.861,2.811,2.478,2.382,2.831,2.597444,2.51,3.078,2.812,2.81324118,0.265957447,0.238095238,0.728395062,0.265957447
Cn1c(=O)cc(NC(C)(C)c2ncc(C3CC3)cn2)c2cc(Nc3ccnc(Cl)c3C#N)ccc21,2.7,3.34,3.778,3.381,4.464,4.234,4.602,3.587984,4.549,4.055,3.676,2.932078367,0.225490196,0.265060241,0.287128713,0.225490196
N#Cc1ccc2nc(CN3CCC(c4nc(-c5cc6ccccc6o5)cs4)CC3)[nH]c2c1,3.4,4.28,4.718,4.294,4.617,4.163,4.987,4.5646935,3.957,5.118,4.457,4.224891029,0.26744186,0.325,0.357142857,0.26744186
O=C(Nc1ccccc1)C1CCN(c2cncnc2-c2ccccc2)CC1,2.7,3.51,3.948,3.285,3.722,3.346,3.41,4.2263136,2.908,2.968,4.248,3.698261185,0.333333333,0.540983607,0.392857143,0.333333333
O=c1c2cccnc2cnn1Cc1nc([C@H]2[C@@H]3CN(c4cc(Cl)ccn4)C[C@@H]32)no1,2.7,2.72,2.247,2.549,1.909,2.396,2.331,2.4198313,2.782,2.43,3.131,2.937733646,0.253731343,0.337078652,0.269662921,0.253731343
Fc1cnc2nc(CN3CCC(c4nc(-c5cc6ccccc6o5)cs4)CC3)[nH]c2c1,3.1,3.89,4.32,4.253,4.71,3.922,4.855,3.9964347,3.96,4.634,4.228,3.630966584,0.239130435,0.310344828,0.362318841,0.239130435
Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(C(F)(F)F)c4)CC3)cc2oc1=O,5.05,4.52,4.095,4.421,3.562,3.549,3.664,3.9554787,3.691,3.944,4.195,4.852901097,0.323529412,0.397260274,0.348314607,0.323943662
C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3ccc4sccc4c3)n(Cc3ccc(Cl)cc3)c12)C1CC1,2.2,3.03,3.454,4.172,3.846,2.973,2.855,2.5019557,3.556,2.947,3.009,3.270369028,0.255555556,0.340909091,0.308641975,0.255555556
CNC(=O)c1c(-c2ccc3[nH]ccc3c2)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,1.5,1.8,2.223,2.912,1.639,2.299,2.234,2.5611935,2.176,1.87,2.087,0.678245122,0.211111111,0.308641975,0.306818182,0.246376812
O=C(O)Cn1nc(Cc2nc3cc(Cl)c(OCC4CC4)cc3[nH]2)c2ccccc2c1=O,2.21,1.15,0.727,2.428,0.741,1.147,1.156,1.3329611,0.529,1.089,1.35,0.04182902,0.280898876,0.353658537,0.3375,0.321428571
CN(C)C(=O)C1CCN(c2cncnc2-c2ccccc2)CC1,1.7,1.7,2.117,2.23,1.788,1.426,1.953,2.451447,0.848,1.599,2.456,1.904368899,0.294117647,0.483333333,0.363636364,0.294117647
CN(Cc1ccccc1)c1nc(=O)[nH]c2cc(Cl)ccc12,2.9,2.98,3.394,3.476,2.427,3.099,3.124,3.6548948,3.39,2.799,3.321,3.231693583,0.345454545,0.383333333,0.471698113,0.355555556
O=c1nc(N2CCc3ccccc32)c2ccc(Cl)cc2[nH]1,2.9,3.21,3.623,3.546,2.409,3.56,3.491,2.889809,3.26,2.867,3.108,3.362507647,0.306451613,0.390625,0.363636364,0.31372549
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,2.55,4.41,4.818,4.523,4.203,4.785,4.178,3.8888185,3.238,4.219,3.954,5.566256739,0.227722772,0.269230769,0.322916667,0.227722772
CN(C)C(=O)C1CCN(c2cnccc2-c2ccccn2)CC1,1.2,1.39,1.797,2.009,1.372,1.044,1.352,1.7126625,0.729,1.579,1.576,1.391559866,0.326923077,0.411764706,0.333333333,0.333333333
CS(=O)(=O)c1ccc2c(-c3nc(N[C@H]4CCCNC4)ncc3C(F)(F)F)c[nH]c2c1,1.31,1.55,0.668,2.197,0.568,0.823,0.49,1.3340364,0.05,1.039,1.601,0.173862025,0.232876712,0.284210526,0.364705882,0.232876712
C[C@@H](C(=O)O)c1nn(Cc2cn3cc(OCC4CC4)c(Cl)cc3n2)c2ccccc2c1=O,2.41,1.73,1.329,1.651,0.868,0.348,0.713,1.4637102,0.383,0.703,1.809,1.761356554,0.258823529,0.294736842,0.306122449,0.258823529
C[C@H](Nc1ncc(C(=O)N2CC3(CCOCC3)C2)cn1)c1cnccn1,0.2,0.63,1.029,0.289,-0.266,0.341,0.197,0.50786626,0.304,0.205,1.014,-0.523751752,0.25862069,0.333333333,0.294117647,0.25862069
O=c1nc(N2CCCC2)c2ccc(Cl)cc2[nH]1,1.8,2.45,2.848,3.146,2.014,3.033,3.033,3.3794694,2.588,2.093,2.865,1.913018374,0.29787234,0.392156863,0.425531915,0.333333333
C[C@H](C(=O)O)c1nn(Cc2cn3cc(OCC4CC4)c(Cl)cc3n2)c2ccccc2c1=O,2.39,1.72,1.329,1.651,0.868,0.348,0.713,1.5648202,0.383,0.703,1.809,1.761356554,0.258823529,0.294736842,0.306122449,0.258823529
CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,2.7,3.43,3.819,3.295,2.922,3.096,3.466,3.820715,3.527,3.171,3.464,4.280338934,0.3,0.290322581,0.305263158,0.3
CC(=O)N1CCc2nc(N3CCC(Oc4ccc(F)cc4F)CC3)c(N[C@@H]3CCOC3)nc2C1,3.6,3.41,3.026,2.776,3.263,2.811,2.882,2.9862432,2.485,3.444,3.4,1.465953984,0.224489796,0.304347826,0.307692308,0.226804124
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c32)CC1,3.15,4.64,5.022,5.056,4.116,5.314,4.619,4.8466525,3.778,4.323,4.404,6.800036356,0.257731959,0.306930693,0.329787234,0.257731959
Fc1ccn([C@H]2C[C@H](c3cc(O[C@H]4C[C@@H](n5cccn5)C4)ncn3)C2)n1,3.1,2.53,2.15,3.235,2.383,2.581,2.509,2.6183393,2.303,1.94,2.097,2.209333836,0.192982456,0.265060241,0.263157895,0.220338983
CC(C)(C)OC(=O)N1CCC(CN2CCC(NC(=O)Nc3ccc(Br)cc3)C2=O)CC1,4,3.57,4.81,3.547,3.801,4.463,3.854,4.2933574,3.412,3.593,4.449,2.476174876,0.328125,0.434782609,0.402597403,0.328125
CCC(C(=O)O)c1nn(Cc2cn3cc(OCC4CC4)c(Cl)cc3n2)c2ccccc2c1=O,2.71,2.1,1.722,1.938,1.02,0.798,1.2,1.9300853,0.99,1.065,2.195,2.207426457,0.25,0.288659794,0.282828283,0.25
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(C(=O)c3cc(Cl)cc(Cl)c3)CC2)cc1F,0.9,2.23,2.606,1.421,2.674,1.913,2.112,2.3705876,2.153,2.547,2.315,2.908867937,0.256410256,0.428571429,0.325301205,0.261363636
C[C@H](C(=O)O)n1nc(Cn2cc3cc(OCC4CC4)c(Cl)cc3n2)c2ccccc2c1=O,2.99,1.65,1.275,2.045,1.95,1.344,1.198,1.9518652,0.999,1.751,1.658,0.383393933,0.288888889,0.287234043,0.336956522,0.288888889
Cc1cnc(-c2ccncc2N2CCC(C(=O)N(C)C)CC2)s1,2,2.01,2.382,2.454,2.083,1.594,2.082,2.075211,1.625,1.981,2.098,1.906384556,0.323076923,0.388059701,0.287671233,0.323076923
O=C(c1cnc(NCc2cnccn2)nc1)N1CC2(CCOCC2)C1,0,0.58,0.95,-0.447,-0.255,0.026,-0.147,0.28684294,0.293,-0.013,1.192,-1.09251553,0.298245614,0.328767123,0.296875,0.298245614
CCN(C)C(=O)C1CCN(c2cncnc2-c2ccccc2)CC1,2.1,2.14,2.505,2.394,2.218,1.921,2.231,2.8561354,1.273,1.997,2.634,2.261176852,0.293333333,0.55,0.342857143,0.293333333
